字头	释义
乘	1<动>登；升。《涉江》：“～鄂渚而反顾兮，欸秋冬之绪风。”2<动>驾；坐；骑。《石钟山记》：“独与迈～小舟，至绝壁之下。”3<动>凭借；趁着。《过秦论》：“因利～便，宰割天下，分裂山河。”4<动>因依；接连。《论积贮疏》：“兵旱相～，天下大屈。”《<黄花冈七十二烈士事略>序》：“顾自民国肇造，变乱纷～。”5<动>利用。《教战守策》：“是以区区之禄山一出而～之，四方之民兽奔鸟窜。”6<动>欺凌；欺压。《国语·周语》：“～人不义。”7<动>计量；计算。《韩非子·难一》：“为人臣者，～事有功则赏。”8<动>顺应；顺着。《归去来兮辞》：“聊～化以归尽，乐夫天命复奚疑？。”9<动>冒着；顶着。《登泰山记》：“自京师～风雪……至于泰安。”
乘	1<量>古代一车四马为一乘。《触龙说赵太后》：“于是为长安君约车百～。”《过秦论》：“然秦以区区之地，致万～之势。”2<数>“四”的代称。《殽之战》：“以～韦先，牛十二，犒师。”
惩	1<动>警惕；警戒。《狱中杂记》：“是立法以警其余，且～后也。”2<动>悔恨；改悔。《国殇》：“首身离兮心不～。”3<动>惩罚；惩处。《左传·成公十四年》：“～恶而劝善。”4<动>苦于。《愚公移山》：“～北山之塞，出入之迂也。”
裎	1<名>裸体。《孟子·万章下》：“尔为尔，我为我，虽袒裼裸～于我侧，尔焉能浼我哉！”2<名>系玉佩的带子。《方言》卷四：“佩紟谓之～。”
裎	对襟单衣。古代贵族日常所穿。《方言》卷四：“禅衣……无袌者谓之～衣，古谓之深衣。”
塍	1<名>田埂，小堤。刘禹锡《插田歌》：“田～望如线，白水光参差。”【引】田地划分的单位。柳宗元《柳州复大云寺记》：“凡树木若干本，竹三万竿，圃百畦，田若干～。”
酲	1<形>酒醉后的病态。张衡《南都赋》：“其甘不爽，醉而不～。”2<形>酒醒，清醒。谭嗣同《仁学》：“雾豁天～，霾敛气苏。”
澄	1<形>水清。王安石《桂枝香·登临送目》：“千里～江似练。”（练：一种白色的丝织品。）2<动>澄清，使液体里的杂质沉淀下去。《三国志·孙静传》：“令促具罂缶数百口，～水。”（命令迅速准备坛坛罐罐数百个，澄清雨水。）
逞	1<动>快心，称意。《左传·隐公十一年》：“鬼神实不～于许君，而假手于我寡人。”【又】<动使动>使……快慰；使……满足。《殽之战》：“以～寡君之志。”2<动>达到目的；得逞。《左传·隐公九年》：“后者不救，则无断矣，乃可以～。”3<动>舒展；显露。《论语·乡党》：“～颜色，怡怡如也。”（颜色：面容。怡怡：和顺。）4<动>放任；放肆。柳宗元《三戒序》：“……而乘物以～。”5<动>炫耀；卖弄。见“逞辩”、“逞能”。
骋	1<动>马快跑；奔驰。屈原《离骚》：“乘骐骥以驰～兮，来吾道夫先路。”2<动>尽情施展；展放。《兰亭集序》：“所以游目～怀，足以极视听之娱。”3<动>放纵。仲长统《昌言·理乱》：“乃奔其私嗜，～其邪欲。”（奔：指放纵。嗜：爱好。）
秤	1<名>衡量物体重量的器具。《陈州粜米》：“只除非把那斗～私下换过了，斗是八升的小斗，～是加三的大～。”2<量>古代有的地方十斤为秤。《[般涉调]哨遍·高祖还乡》：“换田契，强秤了麻三～。”（前一个“秤”是动词。）
秤	<动>用秤衡量物体的重量。《陈州粜米》：“你可敢教我亲自～？”
吃	1<动>口吃。《史记·张丞相传》：“（周）昌为人～，又盛怒，曰：‘臣口不能言，然臣期期知其不可。’”2<象>笑声。蒲松龄《聊斋志异·婴宁》：“但闻室中～，皆婴宁笑声。”3<动>进食。贾谊《新书·耳痹》：“越王之穷，至乎～山草。”4<动>感受；蒙受。《京本通俗小说·错斩崔宁》：“半夜敲门不～惊。”5<介>表示被动。《智取生辰纲》：“连累我们也～你说了几声。”
鸱	1<名>鹞鹰。《庄子·秋水》：“～得腐鼠。”2<名>鸱鸺，猫头鹰的一种。《淮南子·主术训》：“～夜撮蚤蚊，察分秋毫，昼日颠越不能见丘山，形性诡也。”3<名>传说中的怪鸟。《山海经·西山经》：“（三危山）有鸟焉，一首而三身，其状如鸦，其名曰～。”4鸱夷的略称。皮革制的口袋。苏轼《和赠羊长史》诗：“不特两～酒，肯借一车书。”
笞	1<动>用竹板、荆条抽打。《陈涉世家》：“尉果～广。”2<动>比喻奴役；役使。《过秦论》：“执敲扑而鞭～天下。”3<名>用竹板、荆条抽打的刑罚。《陈州粜米》：“现放着徒流～杖，做下严刑。”
嗤	<动>讥笑。司马光《训俭示康》：“人皆～吾固陋，吾不以为病。”《甘藷疏序》：“或～笑之。”
摛	1播扬。梁简文帝《神山寺碑》：“此亦仙岫，英名远～。”2铺陈。苏轼《沁园春》词：“云山～锦，朝露团团。”【又】舒张，舒展。许敬宗《尉迟恭碑》：“凤羽～姿，龙媒聘逸。”
痴	1<形>傻；呆。《促织》：“但儿神气～木，奄奄思睡。”2<形>着迷；入迷。张岱《湖心亭看雪》：“莫说相公～，更有～似相公者。”《王冕读书》：“儿～如此，曷不听其所为？”
絺	1细葛布。【又】细葛布衣服。《吕氏春秋·孟夏纪》：“是月也，天子始～。”。2古邑名。在今河南沁阳西南。《左传·隐公十一年》：“（王）与郑人苏忿生之田：温、原、～。”
弛	1<动>放松弓弦。《左传·襄公十八年》：“乃～弓而自后缚之。”2<动>放松；松弛。《捕蛇者说》：“视其缶，而吾蛇尚存，则～然而卧。”3<动>放下；除掉。《狼》：“屠乃奔倚其下，～担持刀。”
池	1<名>护城河。《过秦论》：“然后践华为城，因河为～。”2<名>水池；池塘；湖泊。《孔雀东南飞》：“揽裙脱丝履，举身赴清～。”《雁荡山》：“山顶有大～，相传以为雁荡”
驰	1<动>驱赶车马奔跑。《鸿门宴》：“项伯乃夜～之沛公军。”《木兰诗》：“愿～千里足，送儿还故乡。”2<动>特指驱赶车马进击，追击。《曹刿论战》：“齐师败绩，公将～之。”3<动>车马疾行；奔跑。《<指南录>后序》：“会使辙交～，北邀当国者相见。”【又】特指驱马进击。《垓下之战》：“项王乃～，复斩汉一都尉，杀数十百人。”4<形>疾速；快。《满井游记》：“每冒风～行，未百步辄返。”5<动>传扬。《华阳国志·后贤志》：“辞章灿丽，～名当世。”（辞章：指文章。）
迟	1<形>慢，缓慢。《庖丁解牛》：“吾见其难为，怵然为戒，视为止，行为～。”《孔雀东南飞》：“非为织作～，君家妇难为。”2<动>迟疑，犹豫。《琵琶行》：“琵琶声停欲语～。”3<形>晚。《战国策·亡羊补牢》：“亡羊而补牢，未为～也。”4<形>迟钝。《汉书·杜周传》：“周少言重～，而内深次骨。”
持	1<动>拿着；握着；抓着。《狼》：“屠乃奔倚其下，驰担～刀。”2<动>。拉，牵。柳宗元《段太尉逸事状》：“选老躄者一人～马。”3<动>把持，掌握。《狱中杂记》：“有某姓兄弟，以把～公仓，法应立决。”4<动>操持，治理。《察今》：“悖乱不可以～国。”5<动>扶持。《柳毅传》：“毅恐蹶仆地，君亲起～之曰：‘无惧。’”6<动>保持，维持。《苏武》：“使决人死生，不平心～正，反欲斗两主，观祸败。”7<动>抱着，坚持。《赤壁之战》：“诸人～议，甚失孤望。”8<动>携带，带着。《西门豹治邺》：“以故多～女远逃亡。”9<动>控制，挟持。《童区寄传》：“二豪贼劫～，反接，布囊其口。”10<动>对立，对峙。《赤壁之战》：“今寇众我寡，难与～久。”
墀	殿前台阶上的空地，台阶。杨衒之《洛阳伽蓝记》卷一：“丛竹香草，布护阶～。”
踟	见“踟蹰”。【踟蹰】徘徊；犹豫；停滞不进的样子。《陌上桑》：“使君从南来，五马立～。”
尺	1<量>长度单位，十寸为一尺。《邹忌讽齐王纳谏》：“邹忌修八～有余。”2<名>量长度的工具，尺子。3<形>表示短、少。《荆轲刺秦王》：“群臣侍殿上者，不得持～兵。”
侈	1<形>奢侈；浪费。《论积贮疏》：“淫～之俗，日日以长。”2<动>放纵，放肆。《齐桓晋文之事》：“苟无恒心，放辟邪～，无不为己。”3<形>夸大；过分。曾巩《寄欧阳舍人书》：“有实大于名，有名～于实。”
齿	1<名>门牙。也泛指牙齿。《墨子·非攻》：“古者有语，唇亡则～寒。”2<名>年岁，年龄。《捕蛇者说》：“退而甘食其土之有，以尽吾～。”也指马、牛等爱畜的岁数。3<名>状如牙齿的物体。《宋书·谢灵运传》：“登蹑常著木履，上山则去前～，下山去其后～。”4<动>议论，说话。《答韦中立论师道书》：“平居望外遭～舌不少。”5<动>提及。《师说》：“巫医乐师百工之人，君子不～，今其智乃反不能及。”
耻	1<名>耻辱，可耻的事情。《子鱼论战》：“明～教战，求杀敌也。”2<形>羞愧，羞惭。《卖柑者言》：“坐糜廪粟而不知～。”【又】<形意动>以……为耻辱。《师说》：“今之众人，其下圣人也亦远矣，而～学于师。”3<动>侮辱；羞辱。《国语·勾践栖会稽》：“昔者夫差～吾君于诸侯之国。”
褫	1<动>剥夺。【引】剥去（衣服）。《书博鸡事者》：“乃～豪民衣自衣。”。2<动>解除，废弛。《荀子·非相》：“守法数之有司极礼而～。”
叱	1<动>大专呵斥；斥责。《廉颇蔺相如列传》：“而相如廷～之，辱其群臣。”2<动>吆喝。《卖炭翁》：“回车～牛牵向北。”3<动>呼唤。《失街亭》：“～左右推出斩之。”
斥	1<动>排斥，斥退。《汉书·武帝纪》：“与闻国政而益于民者～。”《盐铁论·利议》：“是孔丘～逐于鲁君，曾不用于世也”2<动>责备，斥责（后起意义）。王夫之《论秦始皇废分封立郡县》：“～秦之私，而欲私其子孙以长存，又岂天下之大公哉？”3<名>指。柳宗元《六逆论》：“盖～言择嗣之道。”（大概指的是选择继承人的道理。）4<动>开拓。《盐铁论·非鞅》：“～地千里。”5<动>侦察，探测。《左传·襄公十八年》：“晋人使司马～山泽之险。”6碱卤，盐碱地。《管子·地员》：“五沃之土，干而不～。”（五沃之土：一种较好的土壤。）
赤	1<形>本为火红色，后泛指红色。《登泰山记》：“日上，正～如丹。”2<形>至诚；真纯。李白《与韩荆州书》：“知君侯推～心于诸贤腹中。”3<形>空；徒。成语有“～手空拳。”4<形>光；裸露。《智取生辰纲》：“六个人脱得～条条的。”
饬	1<动>整治，整顿。《诗经·小雅·六月》：“戎车既～。”《汉书·燕刺王旦传》：“～武备。”今有双音词“整饬”。2<形>谨慎。《宋史·程元凤传论》：“程元凤谨～有馀而乏风节。”（乏风节：缺少气节。）3<动>通“敕”。告诫。《汉书·黄霸传》：“宜令贵臣明～长吏守丞。”（明：明白地。）《汉书·五行志上》：“又～众官，各慎其职。”（慎：谨慎，指慎守。）
抶	<动>鞭打。《五人墓碑记》：“众不能堪，～而朴之。”
炽	<形>火旺。《<黄花冈七十二烈士事略>序》：“环顾国内，贼氛方～。”
敕	1<动>告诫；告谕。《三国志·魏书·武帝纪》：“公～诸将：‘关西兵精悍，坚壁勿与战。’”2<名>君王的诏命，诏令。《卖炭翁》：“手把文书口称～，回车叱牛牵向北。”3<动>整顿；整治。《韩非子·主道》：“贤者～其才，君因而任之。”【又】<形>同“饬”。严谨。《诫史子严敦书》：“效伯高不得，犹为谨～之士。”
啻	<副>仅；只，止。常“不啻”连用。《促织》虽连城拱璧不～也。”
充	1<动>充满；充塞。《冯谖客孟尝君》：“狗马实外厩，美人～下陈。”2<形>充足；充实。《诸葛亮传》：“调其赋税，以～军实。”3<动>充当。《卖炭翁》：“半匹红绡一丈绫，系向牛头～炭值。”4<动>扩充；扩大。《与妻书》：“吾～吾爱汝之心，助天下人爱其所爱。”5<动>担任，担当。《促织》：“遂为猾胥报～里正役。”6<动>满足。《朝三暮四》：“损其家口，～狙之欲。”
冲	1<动>向上冲。《廉颇蔺相如列传》：“相如因持璧却立，倚柱，怒发上～冠。”2<形>虚；空虚。《老子》：“大盈若～，其用不穷。”3<形>谦虚。《谏太宗十思疏》：“念高危则思谦～而自牧。”4<名>交通要道。《失街亭》：“今令汝接应街亭，当阳平关～要道路，总守汉中咽喉。”5<动>快速向前冲。《雁荡山》：“原其理，当是为谷中大水～激，沙土尽去。”6<动>碰撞；冲击。《黔之驴》：“稍近，益狎，荡倚～冒。”7<动>侵袭；侵犯。《教战守策》：“其筋骸之所～犯。”【注】“沖”和“衝”，原是意义各不相同的两个字，123义属“沖”，4以后各义属“衝”，今简化为“冲”。
